"assignment","k5","k6","time"
2,0.0240335737381668,2.30998974851631,4
3,0.0388556125004435,2.90967732381387,0
3,0.034498338074229,2.87369840647935,1
3,0.0313005447469114,3.03974150075508,2
3,0.0247772632033268,3.02543765200467,3
3,0.0259786800742665,3.24450888218885,4
4,0.0420818815875209,3.09081297165552,0
4,0.0372372313614171,3.43781919503919,1
4,0.0394367256694678,3.62442286833083,2
4,0.039830925865594,2.93896216463278,3
4,0.0426950971329506,2.26936695501552,4
1,0.0403798884359856,3.1461730332391,0
1,0.037857961140424,3.07929843573478,1
1,0.0391633401978985,3.08204946262209,2
1,0.0399026848725439,3.07595528556377,3
1,0.042136828184095,3.00087481083803,4
2,0.0416280938191234,2.85738791578224,0
2,0.0348454328953024,3.69230612536658,1
2,0.0326038207568383,3.29373326154795,2
2,0.0258175400766682,3.06590627812931,3
2,0.0253852470469352,2.14777400931417,4
3,0.040998699955233,3.11508064533454,0
3,0.0386736877261807,3.006722007993,1
3,0.0319168289501106,2.78961151690293,2
3,0.0281589241505405,2.93137799305253,3
3,0.0224415846675135,2.9784112522743,4
4,0.0416239090763899,2.76087018135737,0
4,0.0393163531404713,3.52399647402992,1
4,0.0385708678879121,3.58006835309991,2
4,0.0406582878729852,3.08603566088688,3
4,0.036054562889984,2.468574977504,4
1,0.0396715211880509,3.07814319379052,0
1,0.0404380263856585,3.1229607881782,1
1,0.0413082551141985,2.97482481945258,2
1,0.0406050684355336,2.88655094026513,3
1,0.0413710768174389,2.94467539933388,4
2,0.0438668373660611,2.80187413251742,0
2,0.0352576204112544,3.60904558353111,1
2,0.0328162120750059,3.4692622753782,2
2,0.026405150812468,3.10733708456528,3
2,0.0239771081389329,1.94516625152831,4
3,0.0400552817074142,3.02282763788309,0
3,0.036279562235171,2.87339795488768,1
3,0.0327618132452842,3.16542841643511,2
3,0.0287299782450877,2.86372938355508,3
3,0.023302967248493,3.04153243434643,4
4,0.0389647269898908,2.74108243979817,0
4,0.0414148013120451,3.41046268660506,1
4,0.0390823035667707,3.72046807308054,2
4,0.0387613681126314,3.19148778482272,3
4,0.03798290739389,2.11745491163112,4
1,0.0398823103693816,2.85976182906908,0
1,0.0389844027761457,2.9965390136486,1
1,0.0410731135499743,2.80193441478899,2
1,0.039440393217262,3.09076877262546,3
1,0.0391379053440359,3.02727503060075,4
2,0.0407875657121031,3.0321402018398,0
2,0.0370452122871542,3.49527496068271,1
2,0.0313381175782526,3.22282212575652,2
2,0.0278512943704328,3.1416341635632,3
2,0.024856638145389,2.09336659784241,4
3,0.0428472046556402,3.03437093035546,0
3,0.0362021053735342,3.15267201353622,1
